"metric","M1","M2","M3","M4","M5"
"tot genes","78","78","11","28","148"
"inters genes","38","33","4","8","38"
"precision","0.487179487179487","0.423076923076923","0.363636363636364","0.285714285714286","0.256756756756757"
"unique genes","15","13","0","2","77"
"Recall genes","0.00477506911284242","0.00414677054536316","0.000502638853983413","0.00100527770796683","0.00477506911284242"
"Tot.associations...intersection","42","38"," 5"," 8","43"
"Perc.sig.lm","1","1","1","1","1"
"Perc.sig.Spearman","1","1","1","1","1"
"Perc.unique.sig.lm","  1","  1",NA,"  1","  1"
"Perc.unique.sig.Spearman","  1","  1",NA,"  1","  1"
"expected_perc","83.0769230769231","87.3015873015873","100","76.4705882352941","71.0843373493976"
"odds_ratio","4.90909090909091","6.875","Inf","3.25","2.45833333333333"
