"metric","M1","M2","M3","M4","M5"
"tot genes",78,78,11,28,148
"inters genes",38,33,4,8,38
"precision",0.487179487179487,0.423076923076923,0.363636363636364,0.285714285714286,0.256756756756757
"unique genes",15,13,0,2,77
"Recall genes",0.00477506911284242,0.00414677054536316,0.000502638853983413,0.00100527770796683,0.00477506911284242
"Tot.associations...intersection",42,38,5,8,43
"Perc.sig.lm",1,1,1,1,1
"Perc.sig.Spearman",1,1,1,1,1
"Perc.unique.sig.lm",1,1,NA,1,1
"Perc.unique.sig.Spearman",1,1,NA,1,1
"expected_perc",83.0769230769231,87.3015873015873,100,76.4705882352941,71.0843373493976
"odds_ratio",4.90909090909091,6.875,Inf,3.25,2.45833333333333
"Sign of inters",0.00000077777373555236,0.0000996279902717447,0.180247505528327,0.0945086082202857,0.000970354856929454
"All DM up (p)",0.000000195360726832939,0.00000313956876457052,0.0784235277144757,0.186242914947845,0.0000518509443688976
"DM ∩ DE DM up (p)",0.000000578200013906938,0.0000000628310220524222,0.00931943983262538,0.0222797448008669,0.000162363529698538
"M ∩ DE vs All DM up (p)",0.0143558891769692,0.172805687345088,1,0.876923076923077,0.0194885769472353
"All DM down (p)",0.999999982443737,0.999999673934425,1,0.950107840926719,0.999989924064041
"DM ∩ DE DM down (p)",0.999999879856435,0.999999989533652,1,0.995102753569532,0.999939240096359
"M ∩ DE vs All DM down (p)",0.998176981799995,0.95643733255276,1,0.553846153846154,0.995412811935952
"Hypo-up (p)",1,1,1,1,1
"Hypo-down (p)",1,1,1,1,1
"Hyper-up (p)",1,1,1,1,1
"Hyper-down (p)",1,1,1,1,1
"meth Spear (rho)",-0.338877338877339,-0.20120320855615,-0.8,-0.251501515001784,-0.204224586264941
"meth Spear (p)",0.0379837670948908,0.260408032593755,0.333333333333333,0.547942603559827,0.218741070248998
"Multi DM genes",7,7,2,2,15
"Multi DM ∩ DE (p)",0.470817766708178,0.109419363348707,0.618181818181818,1,0.330950508233059
"sites vs |log2FC| (rho)",-0.0490032381705998,0.145316204945283,-0.158113883008419,-0.499312714451762,-0.100210703231666
"sites vs |log2FC| (p)",0.714892637740466,0.285247710116197,0.734920196223464,0.058098451249219,0.398921456896644
"sites vs log2FC (rho)",-0.00474224885521934,0.195425241133312,-0.158113883008419,-0.408528584551442,-0.0983199352461629
"sites vs log2FC (p)",0.971816702250119,0.148906901365245,0.734920196223464,0.130574811412453,0.407922783194312
