"M1","M2","M3","M4","M5"
"36.4","36.4","36.4","16.7","36.4"
"0.773820361613822","0.773820361613822","1","0.955727554179567","0.773820361613822"
"50","50","NaN","50","50"
"0.567264314632736","0.567264314632736","1","0.589473684210526","0.567264314632736"
"49","49","NaN","45.5","49"
"0.078666379853172","0.078666379853172","1","0.272445820433437","0.078666379853172"
"10","10","NaN","NaN","10"
"0.997464716829865","0.997464716829865","1","1","0.997464716829865"
"NaN","NaN","NaN","NaN","NaN"
"1","1","1","1","1"
"50","50","NaN","0","50"
"0.67032967032967","0.67032967032967","1","1","0.67032967032967"
