"unique M1","unique M2","unique M4","unique M5","M1&M2","M1&M5","M2&M5","M4&M5","M1&M2&M4","M1&M2&M5","M2&M3&M4","M2&M3&M5","M2&M4&M5","M1&M2&M3&M5","M1&M2&M4&M5","M2&M3&M4&M5","CORE (all methods)"
"CD180","ARHGAP26","LINC02948","AIRN","CAB39","ADAM19","AKAP13","ADAP1","COX19","BCL2","SF3B2","FLT3","LOC105369905","ABTB2","CHST7","DDIAS","BIRC2"
"CD83","BDP1","LOC101927143","BATF3","CYP1B1-AS1","ARHGAP26-IT1","FNBP1","CYP1B1","POLR3D","BCL2A1","","LOC124902538","LOC105379350","RASGRP3","LINC01160","","LOC101927164"
"CELF2","IGF2R","","C18orf15","ERICH1","BIRC3","GRK3-AS1","GAL3ST3","REL-DT","C5AR1","","TVP23A","LOC124902375","","LINC02539","","MIR3622A"
"DUSP4","LINC02917","","C5AR2","HIPK2","CERS6","LOC105369460","LOC124901920","","CELF2-AS1","","","","","MAGOHB","","RLN2"
"GRK3","LOC102724081","","CARTPT","LASTR","CHP1P2","LOC105375246","MIR320A","","COPRS","","","","","RNF114","",""
"LINC01449","LOC105371664","","CD302","LDLRAD4","CPNE2","LOC105376484","MIR3622B","","ELP3","","","","","SMURF1","",""
"LINC02397","LOC124901121","","CELF2-AS2","LPP","EXOG","LOC124901265","MIR484","","ERGIC1","","","","","","",""
"LINC02669","LOC124902479","","DACH1","MAP3K13","HTRA4","NEUROD1","REL","","IKZF1","","","","","","",""
"LOC100505502","LOC124904962","","DUSP1","NDE1","ITPRID2","NLRC5","","","LINC00348","","","","","","",""
"LOC105378430","LY75","","FLJ42393","NSL1","LINC01747","REEP1","","","LINC02732","","","","","","",""
"MCCC2","NFKB1","","IMMP2L","OSTF1","LOC101928166","SCN5A","","","LRRN3","","","","","","",""
"MIR7706","PLEKHA2","","IMMT","PALM2AKAP2","LY75-CD302","TILRLS","","","MIR4481","","","","","","",""
"MRPL35","TULP4","","INSL4","PDE4B","MIR6855","","","","MMP7","","","","","","",""
"SNORA116","","","ITM2C","POPDC2","NFKB1-AS1","","","","RNF2","","","","","","",""
"SNORD13F","","","LDLRAD4-AS1","RAB30","NUBP1","","","","","","","","","","",""
"","","","LINC00502","ZMIZ1-AS1","PRCP","","","","","","","","","","",""
"","","","LINC02678","","RGS1","","","","","","","","","","",""
"","","","LOC101927550","","URAD","","","","","","","","","","",""
"","","","LOC105371100","","","","","","","","","","","","",""
"","","","LOC105372161","","","","","","","","","","","","",""
"","","","LOC105372568","","","","","","","","","","","","",""
"","","","LOC105374063","","","","","","","","","","","","",""
"","","","LOC105374254","","","","","","","","","","","","",""
"","","","LOC105375241","","","","","","","","","","","","",""
"","","","LOC105375530","","","","","","","","","","","","",""
"","","","LOC105376090","","","","","","","","","","","","",""
"","","","LOC105376217","","","","","","","","","","","","",""
"","","","LOC105376381","","","","","","","","","","","","",""
"","","","LOC105377675","","","","","","","","","","","","",""
"","","","LOC105378379","","","","","","","","","","","","",""
"","","","LOC105378776","","","","","","","","","","","","",""
"","","","LOC105379016","","","","","","","","","","","","",""
"","","","LOC105379343","","","","","","","","","","","","",""
"","","","LOC107984192","","","","","","","","","","","","",""
"","","","LOC107984252","","","","","","","","","","","","",""
"","","","LOC107984385","","","","","","","","","","","","",""
"","","","LOC107985871","","","","","","","","","","","","",""
"","","","LOC107986047","","","","","","","","","","","","",""
"","","","LOC107986883","","","","","","","","","","","","",""
"","","","LOC124900548","","","","","","","","","","","","",""
"","","","LOC124900989","","","","","","","","","","","","",""
"","","","LOC124901100","","","","","","","","","","","","",""
"","","","LOC124901447","","","","","","","","","","","","",""
"","","","LOC124901568","","","","","","","","","","","","",""
"","","","LOC124901631","","","","","","","","","","","","",""
"","","","LOC124901937","","","","","","","","","","","","",""
"","","","LOC124902044","","","","","","","","","","","","",""
"","","","LOC124903975","","","","","","","","","","","","",""
"","","","LOC124904472","","","","","","","","","","","","",""
"","","","LOC124907996","","","","","","","","","","","","",""
"","","","LOC727751","","","","","","","","","","","","",""
"","","","LPP-AS1","","","","","","","","","","","","",""
"","","","MACORIS","","","","","","","","","","","","",""
"","","","MANBA","","","","","","","","","","","","",""
"","","","MIR4480","","","","","","","","","","","","",""
"","","","MMP20","","","","","","","","","","","","",""
"","","","MYO18B","","","","","","","","","","","","",""
"","","","NAT10","","","","","","","","","","","","",""
"","","","NMRK1","","","","","","","","","","","","",""
"","","","PACS1","","","","","","","","","","","","",""
"","","","PALM2AKAP2-AS1","","","","","","","","","","","","",""
"","","","PDE4B-AS1","","","","","","","","","","","","",""
"","","","PLA1A","","","","","","","","","","","","",""
"","","","RASGRP3-AS1","","","","","","","","","","","","",""
"","","","RNF182","","","","","","","","","","","","",""
"","","","SLC9A7","","","","","","","","","","","","",""
"","","","SNAI1","","","","","","","","","","","","",""
"","","","SNORA70E","","","","","","","","","","","","",""
"","","","ST20-MTHFS","","","","","","","","","","","","",""
"","","","STK39","","","","","","","","","","","","",""
"","","","SWT1","","","","","","","","","","","","",""
"","","","TATDN3","","","","","","","","","","","","",""
"","","","TBXAS1","","","","","","","","","","","","",""
"","","","TDRP","","","","","","","","","","","","",""
"","","","TMEM181","","","","","","","","","","","","",""
"","","","TMIGD3","","","","","","","","","","","","",""
"","","","ZMIZ1","","","","","","","","","","","","",""
