sample	condition	pair
ctrl_1	ctrl	1
ctrl_2	ctrl	2
ctrl_3	ctrl	3
ctrl_4	ctrl	4
ctrl_5	ctrl	5
ctrl_6	ctrl	6
ctrl_7	ctrl	7
ctrl_8	ctrl	8
ctrl_9	ctrl	9
ctrl_10	ctrl	10
ctrl_11	ctrl	11
ctrl_12	ctrl	12
ctrl_13	ctrl	13
ctrl_14	ctrl	14
ctrl_15	ctrl	15
ctrl_16	ctrl	16
ctrl_17	ctrl	17
ctrl_18	ctrl	18
ctrl_19	ctrl	19
ctrl_20	ctrl	20
ctrl_21	ctrl	21
ctrl_22	ctrl	22
ctrl_23	ctrl	23
ctrl_24	ctrl	24
ctrl_25	ctrl	25
ctrl_26	ctrl	26
ctrl_27	ctrl	27
ctrl_28	ctrl	28
ctrl_29	ctrl	29
ctrl_30	ctrl	30
ctrl_31	ctrl	31
ctrl_32	ctrl	32
ctrl_33	ctrl	33
ctrl_34	ctrl	34
ctrl_35	ctrl	35
ctrl_36	ctrl	36
ctrl_37	ctrl	37
ctrl_38	ctrl	38
ctrl_39	ctrl	39
ctrl_40	ctrl	40
ctrl_41	ctrl	41
ctrl_42	ctrl	42
ctrl_43	ctrl	43
ctrl_44	ctrl	44
ctrl_45	ctrl	45
ctrl_46	ctrl	46
ctrl_47	ctrl	47
ctrl_48	ctrl	48
ctrl_49	ctrl	49
ctrl_50	ctrl	50
case_1	case	1
case_2	case	2
case_3	case	3
case_4	case	4
case_5	case	5
case_6	case	6
case_7	case	7
case_8	case	8
case_9	case	9
case_10	case	10
case_11	case	11
case_12	case	12
case_13	case	13
case_14	case	14
case_15	case	15
case_16	case	16
case_17	case	17
case_18	case	18
case_19	case	19
case_20	case	20
case_21	case	21
case_22	case	22
case_23	case	23
case_24	case	24
case_25	case	25
case_26	case	26
case_27	case	27
case_28	case	28
case_29	case	29
case_30	case	30
case_31	case	31
case_32	case	32
case_33	case	33
case_34	case	34
case_35	case	35
case_36	case	36
case_37	case	37
case_38	case	38
case_39	case	39
case_40	case	40
case_41	case	41
case_42	case	42
case_43	case	43
case_44	case	44
case_45	case	45
case_46	case	46
case_47	case	47
case_48	case	48
case_49	case	49
case_50	case	50
