"seqnames","start","end","width","strand","coverage1","numCs1","numTs1","coverage2","numCs2","numTs2","coverage3","numCs3","numTs3","coverage4","numCs4","numTs4","coverage5","numCs5","numTs5","coverage6","numCs6","numTs6","coverage7","numCs7","numTs7","coverage8","numCs8","numTs8","coverage9","numCs9","numTs9","coverage10","numCs10","numTs10","coverage11","numCs11","numTs11","coverage12","numCs12","numTs12","coverage13","numCs13","numTs13","coverage14","numCs14","numTs14","coverage15","numCs15","numTs15","coverage16","numCs16","numTs16","coverage17","numCs17","numTs17","coverage18","numCs18","numTs18","coverage19","numCs19","numTs19","coverage20","numCs20","numTs20","coverage21","numCs21","numTs21","coverage22","numCs22","numTs22","coverage23","numCs23","numTs23","coverage24","numCs24","numTs24","coverage25","numCs25","numTs25","coverage26","numCs26","numTs26","coverage27","numCs27","numTs27","coverage28","numCs28","numTs28","coverage29","numCs29","numTs29","coverage30","numCs30","numTs30","coverage31","numCs31","numTs31","coverage32","numCs32","numTs32","coverage33","numCs33","numTs33","coverage34","numCs34","numTs34","coverage35","numCs35","numTs35","coverage36","numCs36","numTs36","coverage37","numCs37","numTs37","coverage38","numCs38","numTs38","coverage39","numCs39","numTs39","coverage40","numCs40","numTs40","coord_key"
"chr1",1168752,1168752,1,"*",20,16,4,NA,NA,NA,NA,NA,NA,10,9,1,NA,NA,NA,NA,NA,NA,18,14,4,17,15,2,11,9,2,NA,NA,NA,12,9,3,20,18,2,21,17,4,12,9,3,NA,NA,NA,NA,NA,NA,28,25,3,33,28,5,18,13,5,11,11,0,11,9,2,NA,NA,NA,18,16,2,10,10,0,21,21,0,21,19,2,16,16,0,11,11,0,14,14,0,17,16,1,15,15,0,11,10,1,29,27,2,16,16,0,26,26,0,10,10,0,17,15,2,22,19,3,27,26,1,52,50,2,"chr1_1168752"
"chr1",1439405,1439405,1,"*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,6,10,7,3,NA,NA,NA,12,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,3,15,8,7,17,8,9,10,7,3,NA,NA,NA,12,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,3,NA,NA,NA,26,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,5,27,26,1,133,123,10,"chr1_1439405"
"chr1",1713469,1713469,1,"*",18,0,18,14,9,5,28,18,10,19,0,19,17,0,17,21,0,21,49,22,27,31,1,30,29,0,29,13,0,13,27,0,27,28,15,13,17,0,17,16,0,16,32,19,13,57,25,32,43,17,26,55,17,38,40,0,40,36,0,36,13,0,13,22,0,22,36,0,36,25,0,25,27,0,27,21,0,21,31,0,31,32,0,32,29,0,29,23,0,23,25,1,24,35,0,35,42,0,42,35,0,35,26,0,26,32,0,32,20,0,20,36,0,36,28,2,26,25,0,25,"chr1_1713469"
"chr1",1713654,1713654,1,"*",NA,NA,NA,10,5,5,16,9,7,20,12,8,NA,NA,NA,NA,NA,NA,34,21,13,15,0,15,15,0,15,14,0,14,15,0,15,26,15,11,NA,NA,NA,NA,NA,NA,18,16,2,34,19,15,41,32,9,38,15,23,21,0,21,12,0,12,NA,NA,NA,12,0,12,21,0,21,11,0,11,14,0,14,13,0,13,17,0,17,12,0,12,13,0,13,NA,NA,NA,11,0,11,20,0,20,22,0,22,21,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,17,16,0,16,11,0,11,"chr1_1713654"
"chr1",1722360,1722360,1,"*",30,0,30,35,19,16,28,13,15,26,11,15,20,0,20,35,0,35,66,30,36,47,0,47,35,0,35,24,0,24,45,0,45,32,17,15,28,0,28,29,0,29,33,13,20,47,20,27,53,26,27,61,23,38,52,0,52,34,0,34,17,0,17,14,0,14,42,0,42,31,0,31,19,0,19,36,0,36,39,0,39,21,0,21,30,2,28,43,0,43,17,1,16,25,1,24,34,0,34,42,0,42,15,0,15,21,0,21,18,0,18,46,0,46,25,1,24,29,0,29,"chr1_1722360"
"chr1",16367190,16367190,1,"*",14,0,14,11,0,11,NA,NA,NA,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,11,0,11,15,0,15,17,0,17,10,0,10,14,0,14,NA,NA,NA,14,0,14,14,0,14,28,0,28,15,0,15,15,0,15,17,0,17,NA,NA,NA,NA,NA,NA,12,0,12,NA,NA,NA,NA,NA,NA,12,0,12,15,0,15,NA,NA,NA,21,4,17,13,0,13,NA,NA,NA,10,0,10,17,0,17,15,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,6,14,29,8,21,"chr1_16367190"
"chr1",18631363,18631363,1,"*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,NA,NA,NA,10,0,10,12,0,12,12,0,12,NA,NA,NA,10,0,10,NA,NA,NA,12,0,12,18,0,18,12,0,12,16,0,16,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,8,15,4,11,NA,NA,NA,NA,NA,NA,18,0,18,NA,NA,NA,NA,NA,NA,11,1,10,11,0,11,13,1,12,13,3,10,35,7,28,"chr1_18631363"
"chr1",21937118,21937118,1,"*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,12,NA,NA,NA,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,10,11,1,10,45,17,28,"chr1_21937118"
"chr1",35620652,35620652,1,"*",13,9,4,22,15,7,NA,NA,NA,18,12,6,21,17,4,12,9,3,23,21,2,16,14,2,18,12,6,16,11,5,21,17,4,10,8,2,17,14,3,21,19,2,NA,NA,NA,24,20,4,29,23,6,36,30,6,27,21,6,21,17,4,14,13,1,17,15,2,29,25,4,24,23,1,21,21,0,20,18,2,22,20,2,16,14,2,20,20,0,19,16,3,30,28,2,26,23,3,27,24,3,19,19,0,22,19,3,18,17,1,21,19,2,38,33,5,18,18,0,38,34,4,"chr1_35620652"
"chr1",36341096,36341096,1,"*",19,11,8,13,7,6,10,4,6,14,9,5,16,9,7,20,13,7,20,11,9,17,13,4,21,12,9,11,4,7,22,12,10,21,8,13,22,17,5,25,15,10,14,9,5,16,11,5,23,14,9,23,14,9,28,18,10,20,8,12,15,8,7,15,12,3,18,15,3,14,11,3,16,10,6,19,16,3,18,14,4,14,10,4,21,14,7,12,4,8,26,19,7,18,13,5,36,29,7,21,15,6,29,22,7,21,15,6,26,19,7,26,22,4,29,22,7,46,35,11,"chr1_36341096"
