"seqnames","start","end","width","strand","coverage1","numCs1","numTs1","coverage2","numCs2","numTs2","coverage3","numCs3","numTs3","coverage4","numCs4","numTs4","coverage5","numCs5","numTs5","coverage6","numCs6","numTs6","coverage7","numCs7","numTs7","coverage8","numCs8","numTs8","coverage9","numCs9","numTs9","coverage10","numCs10","numTs10","coverage11","numCs11","numTs11","coverage12","numCs12","numTs12","coord_key"
"chr1",66265903,66265903,1,"*",14,9,5,8,8,0,8,4,4,14,13,1,10,7,3,11,10,1,14,8,6,14,13,1,5,4,1,7,7,0,17,5,12,16,14,2,"chr1_66265903"
"chr1",111603230,111603230,1,"*",7,1,6,19,14,5,11,2,9,13,9,4,11,4,7,14,9,5,10,3,7,7,7,0,7,2,5,14,9,5,8,1,7,19,13,6,"chr1_111603230"
"chr1",185060540,185060540,1,"*",14,9,5,14,14,0,16,9,7,9,9,0,8,6,2,10,10,0,13,5,8,14,14,0,8,2,6,14,12,2,8,4,4,13,11,2,"chr1_185060540"
"chr1",192551472,192551472,1,"*",11,0,11,14,8,6,12,3,9,16,13,3,9,3,6,13,11,2,15,2,13,9,7,2,13,2,11,9,7,2,8,1,7,7,6,1,"chr1_192551472"
"chr1",212781268,212781268,1,"*",11,8,3,16,15,1,8,3,5,12,12,0,19,14,5,13,13,0,16,8,8,13,13,0,10,5,5,16,15,1,7,5,2,18,16,2,"chr1_212781268"
"chr1",224219793,224219793,1,"*",9,1,8,18,15,3,11,4,7,12,9,3,15,5,10,12,9,3,16,4,12,8,6,2,11,2,9,7,6,1,9,4,5,12,10,2,"chr1_224219793"
"chr10",3450930,3450930,1,"*",5,2,3,11,9,2,7,1,6,8,5,3,8,3,5,9,6,3,12,1,11,10,8,2,7,1,6,10,8,2,8,1,7,16,12,4,"chr10_3450930"
"chr10",5582847,5582847,1,"*",9,1,8,10,8,2,14,1,13,12,7,5,7,2,5,6,4,2,7,1,6,11,8,3,6,1,5,13,5,8,6,1,5,14,10,4,"chr10_5582847"
"chr10",11199975,11199975,1,"*",11,3,8,6,5,1,12,2,10,12,10,2,12,7,5,14,13,1,11,5,6,15,12,3,6,1,5,7,6,1,8,3,5,10,10,0,"chr10_11199975"
"chr10",11276610,11276610,1,"*",14,5,9,13,9,4,13,4,9,15,14,1,13,6,7,13,12,1,18,5,13,14,12,2,8,3,5,16,15,1,9,4,5,24,21,3,"chr10_11276610"
"chr10",11276628,11276628,1,"*",12,2,10,12,8,4,12,3,9,12,9,3,11,3,8,12,10,2,13,2,11,12,10,2,8,3,5,12,12,0,11,3,8,21,15,6,"chr10_11276628"
"chr10",12635359,12635359,1,"*",9,2,7,9,7,2,16,2,14,16,12,4,12,2,10,12,11,1,16,4,12,13,11,2,5,0,5,8,7,1,10,5,5,14,10,4,"chr10_12635359"
"chr10",31630993,31630993,1,"*",15,7,8,11,9,2,11,7,4,15,15,0,8,3,5,8,7,1,14,8,6,10,10,0,7,2,5,9,9,0,5,2,3,11,10,1,"chr10_31630993"
"chr10",78914806,78914806,1,"*",22,8,14,14,12,2,9,3,6,16,12,4,14,5,9,6,5,1,16,5,11,7,5,2,8,1,7,9,6,3,6,1,5,10,7,3,"chr10_78914806"
"chr10",78914878,78914878,1,"*",6,0,6,8,5,3,9,1,8,8,4,4,5,1,4,9,9,0,10,1,9,8,7,1,9,1,8,6,5,1,10,1,9,12,8,4,"chr10_78914878"
"chr10",91000031,91000031,1,"*",11,4,7,9,7,2,16,6,10,12,10,2,7,2,5,7,7,0,15,3,12,5,5,0,8,4,4,5,5,0,6,2,4,11,10,1,"chr10_91000031"
"chr11",34244342,34244342,1,"*",13,1,12,15,6,9,16,2,14,16,10,6,11,1,10,10,5,5,9,0,9,14,9,5,10,1,9,9,7,2,6,0,6,13,7,6,"chr11_34244342"
"chr11",66056671,66056671,1,"*",14,2,12,10,7,3,9,4,5,9,8,1,9,2,7,7,7,0,11,3,8,12,10,2,9,4,5,7,5,2,8,2,6,12,11,1,"chr11_66056671"
"chr11",82908749,82908749,1,"*",14,3,11,9,8,1,17,9,8,14,12,2,17,10,7,20,16,4,23,12,11,12,10,2,11,6,5,11,11,0,11,4,7,18,15,3,"chr11_82908749"
"chr11",82996120,82996120,1,"*",14,3,11,15,12,3,15,4,11,14,13,1,12,4,8,7,7,0,17,4,13,18,17,1,6,1,5,18,16,2,6,2,4,12,11,1,"chr11_82996120"
"chr11",102293563,102293563,1,"*",11,2,9,13,13,0,20,5,15,20,18,2,11,3,8,18,17,1,20,4,16,16,13,3,12,2,10,19,18,1,9,3,6,13,9,4,"chr11_102293563"
"chr11",102346189,102346189,1,"*",17,6,11,19,14,5,10,4,6,13,9,4,11,6,5,11,8,3,16,2,14,11,8,3,5,0,5,11,9,2,6,2,4,14,11,3,"chr11_102346189"
"chr11",102551571,102551571,1,"*",12,3,9,12,8,4,13,6,7,14,13,1,6,3,3,7,6,1,21,8,13,15,13,2,6,1,5,9,9,0,7,3,4,7,6,1,"chr11_102551571"
"chr11",102552713,102552713,1,"*",8,2,6,10,8,2,17,10,7,10,8,2,12,3,9,12,9,3,17,6,11,9,9,0,7,2,5,10,9,1,10,4,6,14,13,1,"chr11_102552713"
"chr11",110349947,110349947,1,"*",7,2,5,13,9,4,9,4,5,9,9,0,7,3,4,7,6,1,14,7,7,9,8,1,7,2,5,13,12,1,10,4,6,10,10,0,"chr11_110349947"
"chr12",10615858,10615858,1,"*",10,5,5,11,10,1,21,5,16,15,12,3,9,3,6,11,6,5,13,2,11,7,5,2,9,1,8,10,7,3,6,2,4,7,4,3,"chr12_10615858"
"chr12",92553613,92553613,1,"*",7,2,5,7,6,1,9,1,8,8,8,0,6,3,3,13,10,3,7,2,5,6,5,1,12,2,10,14,12,2,8,1,7,14,10,4,"chr12_92553613"
"chr13",28016119,28016119,1,"*",12,5,7,14,12,2,7,1,6,13,13,0,16,8,8,8,8,0,16,5,11,13,12,1,8,2,6,13,12,1,8,1,7,11,9,2,"chr13_28016119"
"chr13",71240093,71240093,1,"*",14,6,8,14,12,2,19,9,10,17,14,3,14,9,5,11,11,0,22,10,12,11,11,0,13,7,6,10,10,0,15,8,7,14,12,2,"chr13_71240093"
"chr15",79948682,79948682,1,"*",6,4,2,12,11,1,17,7,10,7,7,0,8,5,3,12,11,1,14,6,8,7,7,0,6,0,6,11,10,1,11,2,9,6,5,1,"chr15_79948682"
"chr15",85366406,85366406,1,"*",9,8,1,11,11,0,10,4,6,25,24,1,14,11,3,7,7,0,11,6,5,12,12,0,6,3,3,18,17,1,11,6,5,12,12,0,"chr15_85366406"
"chr16",10775317,10775317,1,"*",10,9,1,11,11,0,5,1,4,5,5,0,7,5,2,6,6,0,5,2,3,9,9,0,6,2,4,8,8,0,6,3,3,10,10,0,"chr16_10775317"
"chr16",10775370,10775370,1,"*",13,5,8,8,7,1,13,7,6,14,13,1,10,5,5,13,13,0,15,4,11,18,17,1,11,3,8,6,6,0,8,6,2,13,12,1,"chr16_10775370"
"chr16",15647086,15647086,1,"*",13,1,12,17,13,4,16,2,14,17,15,2,14,3,11,13,7,6,26,5,21,22,19,3,12,3,9,8,7,1,5,1,4,10,8,2,"chr16_15647086"
"chr16",57052100,57052100,1,"*",10,1,9,7,2,5,8,0,8,13,10,3,13,2,11,9,4,5,15,3,12,6,5,1,11,2,9,14,12,2,10,4,6,6,5,1,"chr16_57052100"
"chr17",31787054,31787054,1,"*",5,1,4,12,11,1,14,6,8,20,18,2,13,8,5,14,14,0,19,7,12,12,12,0,10,2,8,13,11,2,8,2,6,11,10,1,"chr17_31787054"
"chr18",13319740,13319740,1,"*",12,4,8,6,5,1,13,4,9,21,19,2,11,5,6,13,11,2,13,7,6,10,9,1,7,1,6,5,4,1,7,4,3,10,8,2,"chr18_13319740"
"chr18",63161195,63161195,1,"*",14,1,13,12,8,4,15,0,15,25,19,6,6,1,5,9,6,3,26,2,24,8,6,2,8,2,6,8,8,0,11,1,10,6,4,2,"chr18_63161195"
"chr19",47305667,47305667,1,"*",15,4,11,14,11,3,13,4,9,18,12,6,15,6,9,17,15,2,20,10,10,10,9,1,9,2,7,11,8,3,13,7,6,10,9,1,"chr19_47305667"
"chr2",33531382,33531382,1,"*",14,3,11,9,7,2,12,2,10,16,10,6,11,3,8,12,6,6,15,6,9,16,14,2,13,2,11,12,8,4,12,4,8,8,6,2,"chr2_33531382"
"chr2",33531589,33531589,1,"*",8,5,3,11,10,1,11,7,4,19,18,1,13,9,4,13,13,0,17,8,9,9,8,1,6,3,3,8,8,0,6,2,4,14,13,1,"chr2_33531589"
"chr2",38119559,38119559,1,"*",9,2,7,11,9,2,8,3,5,14,14,0,12,6,6,7,7,0,17,10,7,9,9,0,9,3,6,8,7,1,8,5,3,10,10,0,"chr2_38119559"
"chr2",60879990,60879990,1,"*",16,5,11,15,14,1,18,9,9,14,13,1,15,9,6,13,12,1,18,9,9,14,12,2,8,6,2,6,5,1,8,3,5,11,9,2,"chr2_60879990"
"chr2",86237399,86237399,1,"*",13,4,9,17,14,3,21,8,13,11,11,0,10,3,7,18,18,0,14,7,7,16,14,2,5,2,3,10,10,0,5,4,1,12,11,1,"chr2_86237399"
"chr2",159894569,159894569,1,"*",10,6,4,14,13,1,14,8,6,18,17,1,15,11,4,7,7,0,14,6,8,9,9,0,7,2,5,11,11,0,7,5,2,15,14,1,"chr2_159894569"
"chr2",168404852,168404852,1,"*",8,0,8,11,7,4,17,1,16,12,7,5,11,0,11,16,9,7,15,3,12,8,6,2,9,3,6,17,13,4,11,2,9,13,7,6,"chr2_168404852"
"chr2",181786204,181786204,1,"*",11,5,6,10,6,4,20,7,13,11,10,1,11,3,8,9,7,2,13,4,9,11,10,1,8,2,6,6,5,1,8,2,6,8,6,2,"chr2_181786204"
"chr2",230766092,230766092,1,"*",17,3,14,20,15,5,19,3,16,13,11,2,15,6,9,14,11,3,24,3,21,12,10,2,5,1,4,9,7,2,12,1,11,15,13,2,"chr2_230766092"
"chr20",22730205,22730205,1,"*",14,4,10,7,6,1,9,4,5,12,11,1,11,5,6,7,6,1,14,3,11,6,5,1,14,3,11,14,14,0,6,2,4,9,8,1,"chr20_22730205"
"chr20",49938636,49938636,1,"*",18,5,13,14,11,3,7,2,5,16,11,5,15,7,8,12,8,4,14,4,10,7,4,3,11,4,7,11,11,0,10,4,6,13,12,1,"chr20_49938636"
"chr22",25643589,25643589,1,"*",16,4,12,15,9,6,17,3,14,19,13,6,11,3,8,10,9,1,21,1,20,9,7,2,11,2,9,9,7,2,5,1,4,8,7,1,"chr22_25643589"
"chr3",38536429,38536429,1,"*",17,5,12,15,14,1,7,2,5,20,15,5,12,5,7,12,10,2,16,5,11,12,12,0,9,4,5,10,8,2,7,3,4,12,9,3,"chr3_38536429"
"chr3",119647428,119647428,1,"*",14,8,6,7,7,0,7,5,2,10,10,0,11,8,3,13,12,1,12,3,9,9,9,0,5,2,3,9,8,1,6,2,4,11,11,0,"chr3_119647428"
"chr3",152160836,152160836,1,"*",13,6,7,15,13,2,19,11,8,16,15,1,18,12,6,14,12,2,18,10,8,12,12,0,7,4,3,7,6,1,12,5,7,16,15,1,"chr3_152160836"
"chr3",185312387,185312387,1,"*",15,3,12,16,13,3,13,3,10,13,13,0,20,6,14,13,12,1,15,8,7,16,13,3,5,1,4,10,10,0,11,6,5,21,19,2,"chr3_185312387"
"chr3",188299286,188299286,1,"*",6,2,4,12,9,3,9,4,5,15,13,2,6,4,2,19,16,3,21,7,14,7,5,2,7,2,5,13,11,2,9,1,8,7,6,1,"chr3_188299286"
"chr4",102599013,102599013,1,"*",15,3,12,14,9,5,13,3,10,13,10,3,10,3,7,15,10,5,8,1,7,14,12,2,6,2,4,12,9,3,7,2,5,12,7,5,"chr4_102599013"
"chr4",102599319,102599319,1,"*",7,1,6,17,14,3,16,3,13,24,22,2,13,4,9,8,6,2,15,3,12,19,17,2,13,4,9,10,8,2,10,4,6,16,13,3,"chr4_102599319"
"chr5",67292332,67292332,1,"*",18,4,14,9,5,4,10,4,6,18,12,6,11,5,6,8,7,1,15,6,9,13,12,1,12,3,9,14,11,3,5,2,3,12,12,0,"chr5_67292332"
"chr5",71524081,71524081,1,"*",11,4,7,8,7,1,14,5,9,12,12,0,12,6,6,16,14,2,11,4,7,11,11,0,7,3,4,9,7,2,11,5,6,11,8,3,"chr5_71524081"
