coord_key	cpg_id	SYMBOL
chrX_100206216	cpg00178	RPSAP8
chr14_73853120	cpg00256	PTGR2
chr13_42181347	cpg00261	CHCHD2P11
chr6_166307811	cpg00359	PRR18
chr19_47778542	cpg00742	SELENOW
chr1_215620614	cpg01200	KCTD3
chr9_132414454	cpg01351	CFAP77
chr9_4808815	cpg01683	KLF4P1
chr2_53854312	cpg01933	MIR3682
chr19_12852411	cpg02305	MIR6794
chr13_46445222	cpg02311	RUBCNL
chr19_22402933	cpg02386	ZNF98
chr6_107962345	cpg02548	SEC63
chr17_19609869	cpg02781	MTCO1P39
chr5_112976641	cpg03266	DCP2
chr20_49666624	cpg03585	B4GALT5
chr12_40068427	cpg03662	RPL30P13
chr17_49086768	cpg03777	B4GALNT2P1
chr11_68045804	cpg04493	MIR6753
chr9_22641403	cpg04519	LINC01239
chr2_47810414	cpg04560	FBXO11
chr4_183217294	cpg04608	WWC2
chr2_26033939	cpg05028	LOC124907743
chr9_94507527	cpg05068	RNU6-669P
chr1_28672231	cpg05188	GMEB1
chr19_17849974	cpg05315	JAK3
chr8_158771830	cpg05348	C8orf33
chr17_4762343	cpg05593	TM4SF5
chr4_87824441	cpg05662	MEPE
chr17_42592645	cpg06025	RETREG3
chr6_21589850	cpg07077	LINC00581
chr15_66505116	cpg07330	ZWILCH
chr4_153750808	cpg07379	RNF175
chr10_103898927	cpg07803	STN1
chr3_184558040	cpg07813	LINC01840
chr14_61354832	cpg08228	PRKCH
chr7_66107144	cpg08741	CRCP
chr2_60704012	cpg09778	RPL26P13
chr11_56473078	cpg10095	OR5M3
chr5_37248442	cpg10415	CPLANE1-AS1
chr7_102466923	cpg10926	LRWD1
chr13_33127272	cpg10994	STARD13
chr1_6481329	cpg11147	PLEKHG5
chr9_135332724	cpg11366	LINC02907
chr3_149104639	cpg11688	MED28P2
chr2_69515128	cpg12196	RN7SL604P
chr9_94554879	cpg12450	PCAT7
chr9_83957392	cpg12557	QNG1
chr11_103850264	cpg12583	MIR4693
chr9_12299994	cpg12678	RNU2-47P
chrX_107837901	cpg13214	MID2
chr16_28776128	cpg13414	PLA2G10KP
chr20_44903493	cpg13428	YWHAB
chrY_18732259	cpg13652	TTTY9A
chr16_754183	cpg14126	MSLN
chr1_9556589	cpg14785	SLC25A33
chr15_20931547	cpg14808	NF1P1
chr1_27324853	cpg14811	RNU6-48P
chrX_133096672	cpg14837	USP26
chr21_45731268	cpg14953	PCBP3
